p,d,q,P,D,Q,season,value
0.0,1.0,0.0,0.0,1.0,0.0,5.0,28452.95798328863
0.0,1.0,0.0,0.0,1.0,1.0,5.0,24967.822491665396
0.0,1.0,0.0,0.0,1.0,2.0,5.0,24938.001565556715
0.0,1.0,0.0,0.0,1.0,3.0,5.0,24935.137982331307
0.0,1.0,0.0,1.0,1.0,0.0,5.0,26956.645768153536
0.0,1.0,0.0,1.0,1.0,1.0,5.0,24939.87678093653
0.0,1.0,0.0,1.0,1.0,2.0,5.0,24921.43019830101
0.0,1.0,0.0,1.0,1.0,3.0,5.0,24935.02218170117
0.0,1.0,0.0,2.0,1.0,0.0,5.0,26373.852201289843
0.0,1.0,0.0,2.0,1.0,1.0,5.0,24937.85548593157
0.0,1.0,0.0,2.0,1.0,2.0,5.0,24935.554598073402
0.0,1.0,0.0,2.0,1.0,3.0,5.0,24932.453989967864
0.0,1.0,0.0,3.0,1.0,0.0,5.0,26173.67569037201
0.0,1.0,0.0,3.0,1.0,1.0,5.0,24935.152634135447
0.0,1.0,0.0,3.0,1.0,2.0,5.0,24937.545702642063
0.0,1.0,0.0,3.0,1.0,3.0,5.0,24920.536132077297
0.0,1.0,1.0,0.0,1.0,0.0,5.0,28434.296706106987
0.0,1.0,1.0,0.0,1.0,1.0,5.0,24944.433151979498
0.0,1.0,1.0,0.0,1.0,2.0,5.0,24913.616034722563
0.0,1.0,1.0,0.0,1.0,3.0,5.0,24911.119178601886
0.0,1.0,1.0,1.0,1.0,0.0,5.0,26936.080438318073
0.0,1.0,1.0,1.0,1.0,1.0,5.0,24915.539536857614
0.0,1.0,1.0,1.0,1.0,2.0,5.0,24948.37732220829
0.0,1.0,1.0,1.0,1.0,3.0,5.0,24909.095176412375
0.0,1.0,1.0,2.0,1.0,0.0,5.0,26323.737707597316
0.0,1.0,1.0,2.0,1.0,1.0,5.0,24913.30339888076
0.0,1.0,1.0,2.0,1.0,2.0,5.0,24909.23278673181
0.0,1.0,1.0,2.0,1.0,3.0,5.0,24907.350858999016
0.0,1.0,1.0,3.0,1.0,0.0,5.0,26129.90776217883
0.0,1.0,1.0,3.0,1.0,1.0,5.0,24913.06435504063
0.0,1.0,1.0,3.0,1.0,2.0,5.0,24911.20616836637
0.0,1.0,1.0,3.0,1.0,3.0,5.0,24898.118416867816
0.0,1.0,2.0,0.0,1.0,0.0,5.0,28417.517434292102
0.0,1.0,2.0,0.0,1.0,1.0,5.0,24912.649778394385
0.0,1.0,2.0,0.0,1.0,2.0,5.0,24879.00843687162
0.0,1.0,2.0,0.0,1.0,3.0,5.0,24877.882465588653
0.0,1.0,2.0,1.0,1.0,0.0,5.0,26894.69846486261
0.0,1.0,2.0,1.0,1.0,1.0,5.0,24880.780552352495
0.0,1.0,2.0,1.0,1.0,2.0,5.0,24916.55668361309
0.0,1.0,2.0,1.0,1.0,3.0,5.0,24874.8123484916
0.0,1.0,2.0,2.0,1.0,0.0,5.0,26282.475553669075
0.0,1.0,2.0,2.0,1.0,1.0,5.0,24879.60244868831
0.0,1.0,2.0,2.0,1.0,2.0,5.0,24874.443509801407
0.0,1.0,2.0,2.0,1.0,3.0,5.0,24868.466410321467
0.0,1.0,2.0,3.0,1.0,0.0,5.0,26091.118242315046
0.0,1.0,2.0,3.0,1.0,1.0,5.0,24879.78223076721
0.0,1.0,2.0,3.0,1.0,2.0,5.0,24876.181566112933
0.0,1.0,2.0,3.0,1.0,3.0,5.0,24857.142426974522
0.0,1.0,3.0,0.0,1.0,0.0,5.0,27833.011131968742
0.0,1.0,3.0,0.0,1.0,1.0,5.0,24908.115469187313
0.0,1.0,3.0,0.0,1.0,2.0,5.0,24879.062224508045
0.0,1.0,3.0,0.0,1.0,3.0,5.0,24877.710039988968
0.0,1.0,3.0,1.0,1.0,0.0,5.0,26877.922109070947
0.0,1.0,3.0,1.0,1.0,1.0,5.0,24880.69196769238
0.0,1.0,3.0,1.0,1.0,2.0,5.0,24912.095735673436
0.0,1.0,3.0,1.0,1.0,3.0,5.0,24875.068869462248
0.0,1.0,3.0,2.0,1.0,0.0,5.0,26284.37930529593
0.0,1.0,3.0,2.0,1.0,1.0,5.0,24879.529803034697
0.0,1.0,3.0,2.0,1.0,2.0,5.0,24874.838264166472
0.0,1.0,3.0,2.0,1.0,3.0,5.0,24868.661506548437
0.0,1.0,3.0,3.0,1.0,0.0,5.0,26093.05299057441
0.0,1.0,3.0,3.0,1.0,1.0,5.0,24879.144677681557
0.0,1.0,3.0,3.0,1.0,2.0,5.0,24876.639281131043
0.0,1.0,3.0,3.0,1.0,3.0,5.0,24858.458574195334
1.0,1.0,0.0,0.0,1.0,0.0,5.0,28432.047086087507
1.0,1.0,0.0,0.0,1.0,1.0,5.0,24940.325481051485
1.0,1.0,0.0,0.0,1.0,2.0,5.0,24909.092509199843
1.0,1.0,0.0,0.0,1.0,3.0,5.0,24906.75257822971
1.0,1.0,0.0,1.0,1.0,0.0,5.0,26932.02092034916
1.0,1.0,0.0,1.0,1.0,1.0,5.0,24911.0199396798
1.0,1.0,0.0,1.0,1.0,2.0,5.0,24944.279311200517
1.0,1.0,0.0,1.0,1.0,3.0,5.0,24904.317368634824
1.0,1.0,0.0,2.0,1.0,0.0,5.0,26314.11644929462
1.0,1.0,0.0,2.0,1.0,1.0,5.0,24908.818114753296
1.0,1.0,0.0,2.0,1.0,2.0,5.0,24904.34594955547
1.0,1.0,0.0,2.0,1.0,3.0,5.0,24902.360819626723
1.0,1.0,0.0,3.0,1.0,0.0,5.0,26121.619239336433
1.0,1.0,0.0,3.0,1.0,1.0,5.0,24908.932329885043
1.0,1.0,0.0,3.0,1.0,2.0,5.0,24906.291927842954
1.0,1.0,0.0,3.0,1.0,3.0,5.0,24882.316093991933
1.0,1.0,1.0,0.0,1.0,0.0,5.0,28320.532822204135
1.0,1.0,1.0,0.0,1.0,1.0,5.0,24926.553090497688
1.0,1.0,1.0,0.0,1.0,2.0,5.0,24895.98074351632
1.0,1.0,1.0,0.0,1.0,3.0,5.0,24894.224060270022
1.0,1.0,1.0,1.0,1.0,0.0,5.0,26911.515744723933
1.0,1.0,1.0,1.0,1.0,1.0,5.0,24897.79067015223
1.0,1.0,1.0,1.0,1.0,2.0,5.0,24930.551398710937
1.0,1.0,1.0,1.0,1.0,3.0,5.0,24890.823103071427
1.0,1.0,1.0,2.0,1.0,0.0,5.0,26291.101134273056
1.0,1.0,1.0,2.0,1.0,1.0,5.0,24895.979536460763
1.0,1.0,1.0,2.0,1.0,2.0,5.0,24890.54548845032
1.0,1.0,1.0,2.0,1.0,3.0,5.0,24886.679596300834
1.0,1.0,1.0,3.0,1.0,0.0,5.0,26101.537114330422
1.0,1.0,1.0,3.0,1.0,1.0,5.0,24896.618457235632
1.0,1.0,1.0,3.0,1.0,2.0,5.0,24892.35552651283
1.0,1.0,1.0,3.0,1.0,3.0,5.0,24876.898444613093
1.0,1.0,2.0,0.0,1.0,0.0,5.0,28397.914699730733
1.0,1.0,2.0,0.0,1.0,1.0,5.0,24909.88252784989
1.0,1.0,2.0,0.0,1.0,2.0,5.0,24878.32640802094
1.0,1.0,2.0,0.0,1.0,3.0,5.0,24876.902019346588
1.0,1.0,2.0,1.0,1.0,0.0,5.0,26888.124536927106
1.0,1.0,2.0,1.0,1.0,1.0,5.0,24880.046562159012
