p,d,q,value
0.0,0.0,0.0,56746.063842173186
0.0,0.0,1.0,50605.99775528165
0.0,0.0,2.0,45626.41305088624
0.0,0.0,3.0,41401.11951778917
0.0,0.0,4.0,44075.9803023911
0.0,0.0,5.0,44078.742267815775
0.0,0.0,6.0,44215.28193718642
0.0,1.0,0.0,24961.007725323707
0.0,1.0,1.0,24938.37462364893
0.0,1.0,2.0,24905.931424826274
0.0,1.0,3.0,24901.09876121917
0.0,1.0,4.0,24902.4938082234
0.0,1.0,5.0,24873.16580534589
0.0,1.0,6.0,24875.16425806291
0.0,2.0,0.0,28475.154874170723
0.0,2.0,1.0,24960.78259962423
0.0,2.0,2.0,24936.891754904354
0.0,2.0,3.0,24905.684397576948
0.0,2.0,4.0,24901.435631987188
0.0,2.0,5.0,24903.010929486234
0.0,2.0,6.0,24871.84740090924
1.0,0.0,0.0,24978.903907660344
1.0,0.0,1.0,24956.32281629721
1.0,0.0,2.0,24923.829782483383
1.0,0.0,3.0,24918.96440271208
1.0,0.0,4.0,24920.346250131333
1.0,0.0,5.0,24891.10957266785
1.0,0.0,6.0,24893.107560762604
1.0,1.0,0.0,24934.34135589664
1.0,1.0,1.0,24920.36530773407
1.0,1.0,2.0,24902.870809153297
1.0,1.0,3.0,24903.002347258524
1.0,1.0,4.0,24898.39247573148
1.0,1.0,5.0,24875.164768470346
1.0,1.0,6.0,24866.464405031853
1.0,2.0,0.0,26640.15399672403
1.0,2.0,1.0,24932.740063932968
1.0,2.0,2.0,24919.143608325794
1.0,2.0,3.0,24903.15971544467
1.0,2.0,4.0,24909.558640039002
1.0,2.0,5.0,24903.917431876136
1.0,2.0,6.0,24905.845596026855
2.0,0.0,0.0,24952.293383735065
2.0,0.0,1.0,24938.30393845682
2.0,0.0,2.0,24942.118692760392
2.0,0.0,3.0,24927.309258405323
2.0,0.0,4.0,24921.095246863504
2.0,0.0,5.0,24922.89951883201
2.0,0.0,6.0,24894.849717242454
2.0,1.0,0.0,24909.15220352867
2.0,1.0,1.0,24907.060281768583
2.0,1.0,2.0,24892.33370440629
2.0,1.0,3.0,24894.13072264652
2.0,1.0,4.0,24842.06882744449
2.0,1.0,5.0,24842.85846305796
2.0,1.0,6.0,24790.13666914712
2.0,2.0,0.0,26081.819672648613
2.0,2.0,1.0,24908.85582374935
2.0,2.0,2.0,24907.201151264235
2.0,2.0,3.0,24814.82556109791
2.0,2.0,4.0,24922.990259155828
2.0,2.0,5.0,24842.249470522715
2.0,2.0,6.0,24790.778116730282
3.0,0.0,0.0,24927.052262919635
3.0,0.0,1.0,24952.46094787193
3.0,0.0,2.0,24833.293295540643
3.0,0.0,3.0,24834.64363501565
3.0,0.0,4.0,24833.25308625289
3.0,0.0,5.0,24806.85002798347
3.0,0.0,6.0,24808.49317556975
3.0,1.0,0.0,24905.800069750112
3.0,1.0,1.0,24907.522144978866
3.0,1.0,2.0,24894.08000862875
3.0,1.0,3.0,24891.159522660477
3.0,1.0,4.0,24843.270899606843
3.0,1.0,5.0,24838.609114100407
3.0,1.0,6.0,24831.286773412336
3.0,2.0,0.0,25806.83589092678
3.0,2.0,1.0,24905.987306502615
3.0,2.0,2.0,24912.825400284048
3.0,2.0,3.0,24909.934418280274
3.0,2.0,4.0,24950.859744432164
3.0,2.0,5.0,24844.10409149769
3.0,2.0,6.0,24843.28884035816
4.0,0.0,0.0,24923.67318133472
4.0,0.0,1.0,24930.696874487352
4.0,0.0,2.0,24834.414630864085
4.0,0.0,3.0,24926.09005124508
4.0,0.0,4.0,24918.674109109554
4.0,0.0,5.0,24860.920955004727
4.0,0.0,6.0,24862.804652092986
4.0,1.0,0.0,24906.139791882684
4.0,1.0,1.0,24903.573996078292
4.0,1.0,2.0,24853.467068460854
4.0,1.0,3.0,24876.08687761449
4.0,1.0,4.0,24839.882190621604
4.0,1.0,5.0,24825.460619477788
4.0,1.0,6.0,24822.019308129933
4.0,2.0,0.0,25750.772547314336
4.0,2.0,1.0,24906.575011879184
4.0,2.0,2.0,24908.892555605817
4.0,2.0,3.0,24853.411233913474
4.0,2.0,4.0,24866.498824247967
4.0,2.0,5.0,24775.169965436293
4.0,2.0,6.0,24774.305070537906
5.0,0.0,0.0,309.937521960675
5.0,0.0,1.0,24926.127652368712
5.0,0.0,2.0,24834.04438814764
5.0,0.0,3.0,24919.07742764669
5.0,0.0,4.0,24792.16357919368
5.0,0.0,5.0,24791.726387555154
5.0,0.0,6.0,24789.686754034083
5.0,1.0,0.0,24877.264756228462
5.0,1.0,1.0,24868.61179476664
5.0,1.0,2.0,24852.720737533706
5.0,1.0,3.0,24855.016168638118
5.0,1.0,4.0,24812.172260994404
5.0,1.0,5.0,24814.81349153784
5.0,1.0,6.0,24817.714041784653
5.0,2.0,0.0,25663.85587822174
5.0,2.0,1.0,24876.422625054263
5.0,2.0,2.0,24910.25270687346
5.0,2.0,3.0,24848.51042802938
5.0,2.0,4.0,24883.439590891066
5.0,2.0,5.0,24898.06844745473
5.0,2.0,6.0,24771.523745075836
6.0,0.0,0.0,24993.519299747764
6.0,0.0,1.0,24927.128826475164
6.0,0.0,2.0,24809.286374304884
6.0,0.0,3.0,24864.435276270007
6.0,0.0,4.0,24791.359204993598
6.0,0.0,5.0,24786.31399967601
6.0,0.0,6.0,24790.472793277353
6.0,1.0,0.0,24870.382626538893
6.0,1.0,1.0,24853.727466208722
6.0,1.0,2.0,24794.764486406006
6.0,1.0,3.0,24772.349569309168
6.0,1.0,4.0,24813.77133870771
6.0,1.0,5.0,24816.150680838862
6.0,1.0,6.0,24730.732061759267
6.0,2.0,0.0,25496.875319677594
6.0,2.0,1.0,24868.73479852902
6.0,2.0,2.0,24852.175936488915
6.0,2.0,3.0,24794.8926324426
6.0,2.0,4.0,24780.85003088679
6.0,2.0,5.0,24772.4278773304
6.0,2.0,6.0,24772.1262868061
