p,d,q,P,D,Q,season,value
0.0,1.0,0.0,0.0,1.0,0.0,5.0,28459.38634526634
0.0,1.0,0.0,0.0,1.0,1.0,5.0,24980.679215620814
0.0,1.0,0.0,0.0,1.0,2.0,5.0,24957.286651489845
0.0,1.0,0.0,0.0,1.0,3.0,5.0,24960.851430242146
0.0,1.0,0.0,1.0,1.0,0.0,5.0,26969.502492108953
0.0,1.0,0.0,1.0,1.0,1.0,5.0,24959.16186686966
0.0,1.0,0.0,1.0,1.0,2.0,5.0,24947.143646211847
0.0,1.0,0.0,1.0,1.0,3.0,5.0,24967.163991589718
0.0,1.0,0.0,2.0,1.0,0.0,5.0,26393.137287222973
0.0,1.0,0.0,2.0,1.0,1.0,5.0,24963.56893384241
0.0,1.0,0.0,2.0,1.0,2.0,5.0,24967.69640796195
0.0,1.0,0.0,2.0,1.0,3.0,5.0,24971.02416183412
0.0,1.0,0.0,3.0,1.0,0.0,5.0,26199.389138282848
0.0,1.0,0.0,3.0,1.0,1.0,5.0,24967.294444023995
0.0,1.0,0.0,3.0,1.0,2.0,5.0,24976.11587450832
0.0,1.0,0.0,3.0,1.0,3.0,5.0,24965.534665921263
0.0,1.0,1.0,0.0,1.0,0.0,5.0,28447.153430062404
0.0,1.0,1.0,0.0,1.0,1.0,5.0,24963.718237912628
0.0,1.0,1.0,0.0,1.0,2.0,5.0,24939.329482633402
0.0,1.0,1.0,0.0,1.0,3.0,5.0,24943.260988490434
0.0,1.0,1.0,1.0,1.0,0.0,5.0,26955.365524251203
0.0,1.0,1.0,1.0,1.0,1.0,5.0,24941.252984768453
0.0,1.0,1.0,1.0,1.0,2.0,5.0,24980.519132096837
0.0,1.0,1.0,1.0,1.0,3.0,5.0,24947.66534827863
0.0,1.0,1.0,2.0,1.0,0.0,5.0,26349.451155508155
0.0,1.0,1.0,2.0,1.0,1.0,5.0,24945.445208769306
0.0,1.0,1.0,2.0,1.0,2.0,5.0,24947.802958598066
0.0,1.0,1.0,2.0,1.0,3.0,5.0,24952.34939284298
0.0,1.0,1.0,3.0,1.0,0.0,5.0,26162.04957206738
0.0,1.0,1.0,3.0,1.0,1.0,5.0,24951.634526906888
0.0,1.0,1.0,3.0,1.0,2.0,5.0,24956.204702210336
0.0,1.0,1.0,3.0,1.0,3.0,5.0,24949.545312689494
0.0,1.0,2.0,0.0,1.0,0.0,5.0,28436.802520225232
0.0,1.0,2.0,0.0,1.0,1.0,5.0,24938.363226305224
0.0,1.0,2.0,0.0,1.0,2.0,5.0,24911.150246760168
0.0,1.0,2.0,0.0,1.0,3.0,5.0,24916.45263745491
0.0,1.0,2.0,1.0,1.0,0.0,5.0,26920.41191277345
0.0,1.0,2.0,1.0,1.0,1.0,5.0,24912.922362241043
0.0,1.0,2.0,1.0,1.0,2.0,5.0,24955.126855479346
0.0,1.0,2.0,1.0,1.0,3.0,5.0,24919.810882335565
0.0,1.0,2.0,2.0,1.0,0.0,5.0,26314.617363557623
0.0,1.0,2.0,2.0,1.0,1.0,5.0,24918.172620554567
0.0,1.0,2.0,2.0,1.0,2.0,5.0,24919.442043645373
0.0,1.0,2.0,2.0,1.0,3.0,5.0,24919.893306143145
0.0,1.0,2.0,3.0,1.0,0.0,5.0,26129.688414181303
0.0,1.0,2.0,3.0,1.0,1.0,5.0,24924.780764611176
0.0,1.0,2.0,3.0,1.0,2.0,5.0,24927.60846193461
0.0,1.0,2.0,3.0,1.0,3.0,5.0,24914.99768477391
0.0,1.0,3.0,0.0,1.0,0.0,5.0,27858.72457987958
0.0,1.0,3.0,0.0,1.0,1.0,5.0,24940.25727907586
0.0,1.0,3.0,0.0,1.0,2.0,5.0,24917.6323963743
0.0,1.0,3.0,0.0,1.0,3.0,5.0,24922.708573832933
0.0,1.0,3.0,1.0,1.0,0.0,5.0,26910.063918959495
0.0,1.0,3.0,1.0,1.0,1.0,5.0,24919.262139558636
0.0,1.0,3.0,1.0,1.0,2.0,5.0,24957.0942695174
0.0,1.0,3.0,1.0,1.0,3.0,5.0,24926.495765283926
0.0,1.0,3.0,2.0,1.0,0.0,5.0,26322.949477162187
0.0,1.0,3.0,2.0,1.0,1.0,5.0,24924.528336878662
0.0,1.0,3.0,2.0,1.0,2.0,5.0,24926.26515998815
0.0,1.0,3.0,2.0,1.0,3.0,5.0,24926.516764347823
0.0,1.0,3.0,3.0,1.0,0.0,5.0,26138.051524418377
0.0,1.0,3.0,3.0,1.0,1.0,5.0,24930.571573503235
0.0,1.0,3.0,3.0,1.0,2.0,5.0,24934.49453893043
0.0,1.0,3.0,3.0,1.0,3.0,5.0,24922.74219397243
1.0,1.0,0.0,0.0,1.0,0.0,5.0,28444.903810042924
1.0,1.0,0.0,0.0,1.0,1.0,5.0,24959.610566984615
1.0,1.0,0.0,0.0,1.0,2.0,5.0,24934.805957110682
1.0,1.0,0.0,0.0,1.0,3.0,5.0,24938.894388118257
1.0,1.0,0.0,1.0,1.0,0.0,5.0,26951.30600628229
