p,d,q,value
0.0,1.0,0.0,24967.437179600816
0.0,1.0,1.0,24951.233532203147
0.0,1.0,2.0,24925.2197876576
0.0,1.0,3.0,24926.816578327605
0.0,1.0,4.0,24934.64107960894
0.0,1.0,5.0,24911.74253100854
0.0,1.0,6.0,24920.170438002668
0.0,1.0,7.0,24926.94826008584
0.0,1.0,8.0,24878.19468589713
0.0,1.0,9.0,24886.586239822307
1.0,1.0,0.0,24947.200264450854
1.0,1.0,1.0,24939.653670565396
1.0,1.0,2.0,24928.58862626173
1.0,1.0,3.0,24935.149618644064
1.0,1.0,4.0,24936.96920139413
1.0,1.0,5.0,24920.170948410105
1.0,1.0,6.0,24917.900039248718
1.0,1.0,7.0,24914.042955703535
1.0,1.0,8.0,24886.571066057215
1.0,1.0,9.0,24894.854836883573
2.0,1.0,0.0,24928.440566359994
2.0,1.0,1.0,24932.778098877017
2.0,1.0,2.0,24924.48097579183
2.0,1.0,3.0,24932.70744830917
2.0,1.0,4.0,24887.07500738425
2.0,1.0,5.0,24894.294097274826
2.0,1.0,6.0,24848.001757641094
2.0,1.0,7.0,24934.753133245777
2.0,1.0,8.0,24894.204756422438
2.0,1.0,9.0,24902.631593549788
3.0,1.0,0.0,24931.517886858546
3.0,1.0,1.0,24939.669416364406
3.0,1.0,2.0,24932.6567342914
3.0,1.0,3.0,24936.165702600236
3.0,1.0,4.0,24894.706533823708
3.0,1.0,5.0,24896.47420259438
3.0,1.0,6.0,24895.58131618342
3.0,1.0,7.0,24864.05536965027
3.0,1.0,8.0,24902.5930621637
3.0,1.0,9.0,24850.64577586267
4.0,1.0,0.0,24938.287063268224
4.0,1.0,1.0,24942.15072174094
4.0,1.0,2.0,24898.473248400613
4.0,1.0,3.0,24927.522511831354
4.0,1.0,4.0,24897.747279115578
4.0,1.0,5.0,24889.75516224887
4.0,1.0,6.0,24892.743305178123
4.0,1.0,7.0,24830.215291602624
4.0,1.0,8.0,24858.715119366352
4.0,1.0,9.0,24822.629243715714
5.0,1.0,0.0,24915.84148189111
5.0,1.0,1.0,24913.617974706398
5.0,1.0,2.0,24904.15637175057
5.0,1.0,3.0,24912.881257132092
5.0,1.0,4.0,24876.46680376549
5.0,1.0,5.0,24885.53748858603
5.0,1.0,6.0,24894.867493109952
5.0,1.0,7.0,24893.55773578729
5.0,1.0,8.0,24850.29211990307
5.0,1.0,9.0,24828.874126332787
6.0,1.0,0.0,24915.38880647865
6.0,1.0,1.0,24905.163100425587
6.0,1.0,2.0,24852.62957489998
6.0,1.0,3.0,24836.644112080252
6.0,1.0,4.0,24884.4953357559
6.0,1.0,5.0,24893.30413216416
6.0,1.0,6.0,24814.314967361675
6.0,1.0,7.0,24822.652484385555
6.0,1.0,8.0,24838.177743861248
6.0,1.0,9.0,24831.54645398128
7.0,1.0,0.0,24918.065175972035
7.0,1.0,1.0,24907.93926062321
7.0,1.0,2.0,24920.301095559396
7.0,1.0,3.0,24858.157762271603
7.0,1.0,4.0,24884.248250816483
7.0,1.0,5.0,24880.345208661543
7.0,1.0,6.0,24821.81625594862
7.0,1.0,7.0,24829.903455191008
7.0,1.0,8.0,24837.701269863002
7.0,1.0,9.0,24839.46945350065
8.0,1.0,0.0,24873.28638218993
8.0,1.0,1.0,24881.100606555516
8.0,1.0,2.0,24889.42899911472
8.0,1.0,3.0,24898.378740577053
8.0,1.0,4.0,24836.886816536215
8.0,1.0,5.0,24852.134839685994
8.0,1.0,6.0,24833.303479381062
8.0,1.0,7.0,24839.6523317626
8.0,1.0,8.0,24839.446484777785
8.0,1.0,9.0,24840.13697051386
9.0,1.0,0.0,24881.201668917278
9.0,1.0,1.0,24889.4875425505
9.0,1.0,2.0,24897.849621097695
9.0,1.0,3.0,24889.43722839564
9.0,1.0,4.0,24821.836500361598
9.0,1.0,5.0,24824.67033912487
9.0,1.0,6.0,24835.425791240414
9.0,1.0,7.0,24836.090435821676
9.0,1.0,8.0,24842.747246972485
9.0,1.0,9.0,24847.794428928857
