p,d,q,P,D,Q,season,value
0.0,1.0,0.0,0.0,1.0,0.0,5.0,29.359443772136284
0.0,1.0,0.0,0.0,1.0,1.0,5.0,13.620920033113148
0.0,1.0,0.0,0.0,1.0,2.0,5.0,13.52675073933294
0.0,1.0,0.0,0.0,1.0,3.0,5.0,13.512445482624113
0.0,1.0,0.0,1.0,1.0,0.0,5.0,21.152569174898993
0.0,1.0,0.0,1.0,1.0,1.0,5.0,13.532322116702149
0.0,1.0,0.0,1.0,1.0,2.0,5.0,13.472109986503138
0.0,1.0,0.0,1.0,1.0,3.0,5.0,13.506085447907958
0.0,1.0,0.0,2.0,1.0,0.0,5.0,18.609208460106057
0.0,1.0,0.0,2.0,1.0,1.0,5.0,13.520414854286685
0.0,1.0,0.0,2.0,1.0,2.0,5.0,13.507615698973966
0.0,1.0,0.0,2.0,1.0,3.0,5.0,13.492052312567905
0.0,1.0,0.0,3.0,1.0,0.0,5.0,17.802140336560907
0.0,1.0,0.0,3.0,1.0,1.0,5.0,13.506632870068884
0.0,1.0,0.0,3.0,1.0,2.0,5.0,13.507586715326106
0.0,1.0,0.0,3.0,1.0,3.0,5.0,13.438026238941356
0.0,1.0,1.0,0.0,1.0,0.0,5.0,29.22712760892709
0.0,1.0,1.0,0.0,1.0,1.0,5.0,13.54635658000668
0.0,1.0,1.0,0.0,1.0,2.0,5.0,13.44983443459818
0.0,1.0,1.0,0.0,1.0,3.0,5.0,13.43668909076492
0.0,1.0,1.0,1.0,1.0,0.0,5.0,21.048468090346944
0.0,1.0,1.0,1.0,1.0,1.0,5.0,13.455464136813806
0.0,1.0,1.0,1.0,1.0,2.0,5.0,13.546671850011377
0.0,1.0,1.0,1.0,1.0,3.0,5.0,13.424808628536846
0.0,1.0,1.0,2.0,1.0,0.0,5.0,18.398068517636993
0.0,1.0,1.0,2.0,1.0,1.0,5.0,13.443083761570522
0.0,1.0,1.0,2.0,1.0,2.0,5.0,13.425180705793185
0.0,1.0,1.0,2.0,1.0,3.0,5.0,13.413548307103586
0.0,1.0,1.0,3.0,1.0,0.0,5.0,17.62469832887561
0.0,1.0,1.0,3.0,1.0,1.0,5.0,13.43655554479585
0.0,1.0,1.0,3.0,1.0,2.0,5.0,13.425084488215237
0.0,1.0,1.0,3.0,1.0,3.0,5.0,13.367569136065367
0.0,1.0,2.0,0.0,1.0,0.0,5.0,29.107329920065492
0.0,1.0,2.0,0.0,1.0,1.0,5.0,13.445842858408076
0.0,1.0,2.0,0.0,1.0,2.0,5.0,13.3418457258194
0.0,1.0,2.0,0.0,1.0,3.0,5.0,13.332816519064584
0.0,1.0,2.0,1.0,1.0,0.0,5.0,20.849568410601687
0.0,1.0,2.0,1.0,1.0,1.0,5.0,13.34696508054982
0.0,1.0,2.0,1.0,1.0,2.0,5.0,13.446229454955008
0.0,1.0,2.0,1.0,1.0,3.0,5.0,13.317981513092587
0.0,1.0,2.0,2.0,1.0,0.0,5.0,18.22472550625785
0.0,1.0,2.0,2.0,1.0,1.0,5.0,13.337788782648966
0.0,1.0,2.0,2.0,1.0,2.0,5.0,13.316873975011557
0.0,1.0,2.0,2.0,1.0,3.0,5.0,13.2929179226945
0.0,1.0,2.0,3.0,1.0,0.0,5.0,17.468111223506924
0.0,1.0,2.0,3.0,1.0,1.0,5.0,13.3325245750505
0.0,1.0,2.0,3.0,1.0,2.0,5.0,13.316052872251799
0.0,1.0,2.0,3.0,1.0,3.0,5.0,13.241673489739464
0.0,1.0,3.0,0.0,1.0,0.0,5.0,25.541589538913595
0.0,1.0,3.0,0.0,1.0,1.0,5.0,13.426196955298204
0.0,1.0,3.0,0.0,1.0,2.0,5.0,13.335954617058203
0.0,1.0,3.0,0.0,1.0,3.0,5.0,13.326269184528128
0.0,1.0,3.0,1.0,1.0,0.0,5.0,20.76412297074835
0.0,1.0,3.0,1.0,1.0,1.0,5.0,13.3406770755946
0.0,1.0,3.0,1.0,1.0,2.0,5.0,13.426467035309987
0.0,1.0,3.0,1.0,1.0,3.0,5.0,13.312706905494716
0.0,1.0,3.0,2.0,1.0,0.0,5.0,18.22436302426365
0.0,1.0,3.0,2.0,1.0,1.0,5.0,13.331543886758606
0.0,1.0,3.0,2.0,1.0,2.0,5.0,13.312021410894545
0.0,1.0,3.0,2.0,1.0,3.0,5.0,13.287571407397861
0.0,1.0,3.0,3.0,1.0,0.0,5.0,17.467878167589294
0.0,1.0,3.0,3.0,1.0,1.0,5.0,13.324614222173365
0.0,1.0,3.0,3.0,1.0,2.0,5.0,13.311349372129131
0.0,1.0,3.0,3.0,1.0,3.0,5.0,13.239788699333696
1.0,1.0,0.0,0.0,1.0,0.0,5.0,29.212753332478883
1.0,1.0,0.0,0.0,1.0,1.0,5.0,13.534749435719633
1.0,1.0,0.0,0.0,1.0,2.0,5.0,13.436652657847164
1.0,1.0,0.0,0.0,1.0,3.0,5.0,13.423949912559172
1.0,1.0,0.0,1.0,1.0,0.0,5.0,21.02978264424963
1.0,1.0,0.0,1.0,1.0,1.0,5.0,13.442285365505152
1.0,1.0,0.0,1.0,1.0,2.0,5.0,13.53457214743446
1.0,1.0,0.0,1.0,1.0,3.0,5.0,13.410880824291349
1.0,1.0,0.0,2.0,1.0,0.0,5.0,18.359326111974468
1.0,1.0,0.0,2.0,1.0,1.0,5.0,13.429990371321713
1.0,1.0,0.0,2.0,1.0,2.0,5.0,13.410936025838028
1.0,1.0,0.0,2.0,1.0,3.0,5.0,13.398968537650193
1.0,1.0,0.0,3.0,1.0,0.0,5.0,17.59273369890043
1.0,1.0,0.0,3.0,1.0,1.0,5.0,13.424479085438742
1.0,1.0,0.0,3.0,1.0,2.0,5.0,13.410762403247787
1.0,1.0,0.0,3.0,1.0,3.0,5.0,13.316398777178202
1.0,1.0,1.0,0.0,1.0,0.0,5.0,28.496202124344062
1.0,1.0,1.0,0.0,1.0,1.0,5.0,13.487406693128328
1.0,1.0,1.0,0.0,1.0,2.0,5.0,13.39210766409485
1.0,1.0,1.0,0.0,1.0,3.0,5.0,13.381181933846074
1.0,1.0,1.0,1.0,1.0,0.0,5.0,20.92637276086482
1.0,1.0,1.0,1.0,1.0,1.0,5.0,13.397391113530754
1.0,1.0,1.0,1.0,1.0,2.0,5.0,13.487483497758799
1.0,1.0,1.0,1.0,1.0,3.0,5.0,13.365321921192947
1.0,1.0,1.0,2.0,1.0,0.0,5.0,18.25895538073747
1.0,1.0,1.0,2.0,1.0,1.0,5.0,13.386290352750615
1.0,1.0,1.0,2.0,1.0,2.0,5.0,13.36448130819343
1.0,1.0,1.0,2.0,1.0,3.0,5.0,13.34650649350516
1.0,1.0,1.0,3.0,1.0,0.0,5.0,17.507822672006508
1.0,1.0,1.0,3.0,1.0,1.0,5.0,13.38234166971894
1.0,1.0,1.0,3.0,1.0,2.0,5.0,13.363920617001531
1.0,1.0,1.0,3.0,1.0,3.0,5.0,13.300981511915447
1.0,1.0,2.0,0.0,1.0,0.0,5.0,28.969859256589963
1.0,1.0,2.0,0.0,1.0,1.0,5.0,13.431417708345553
1.0,1.0,2.0,0.0,1.0,2.0,5.0,13.333683925020937
1.0,1.0,2.0,0.0,1.0,3.0,5.0,13.323807692806808
1.0,1.0,2.0,1.0,1.0,0.0,5.0,20.81052566810171
1.0,1.0,2.0,1.0,1.0,1.0,5.0,13.33866841480072
1.0,1.0,2.0,1.0,1.0,2.0,5.0,13.431869172824372
1.0,1.0,2.0,1.0,1.0,3.0,5.0,13.310466279639467
1.0,1.0,2.0,2.0,1.0,0.0,5.0,18.22432208641787
1.0,1.0,2.0,2.0,1.0,1.0,5.0,13.329309041193532
1.0,1.0,2.0,2.0,1.0,2.0,5.0,13.309861644970134
1.0,1.0,2.0,2.0,1.0,3.0,5.0,13.285483024239198
1.0,1.0,2.0,3.0,1.0,0.0,5.0,17.467847288253033
1.0,1.0,2.0,3.0,1.0,1.0,5.0,13.322291194103562
1.0,1.0,2.0,3.0,1.0,2.0,5.0,13.309383135090542
1.0,1.0,2.0,3.0,1.0,3.0,5.0,13.245414600496881
