p,d,q,value
0.0,0.0,0.0,14023.85906718845
0.0,0.0,1.0,3667.993414832369
0.0,0.0,2.0,1236.9428998210778
0.0,0.0,3.0,492.1757273381034
0.0,0.0,4.0,879.7896648311141
0.0,0.0,5.0,623.989206020207
0.0,0.0,6.0,904.376906946295
0.0,1.0,0.0,13.619363484845143
0.0,1.0,1.0,13.546297670210535
0.0,1.0,2.0,13.444762320972004
0.0,1.0,3.0,13.42470039741768
0.0,1.0,4.0,13.422926493195764
0.0,1.0,5.0,13.331318855197628
0.0,1.0,6.0,13.331314075766722
0.0,2.0,0.0,29.36792703485291
0.0,2.0,1.0,13.607773618037887
0.0,2.0,2.0,13.530987265359498
0.0,2.0,3.0,13.43325919759708
0.0,2.0,4.0,13.414985058107636
0.0,2.0,5.0,13.413753572156978
0.0,2.0,6.0,13.31672268466914
1.0,0.0,0.0,14.946131134247768
1.0,0.0,1.0,14.843687082487389
1.0,0.0,2.0,14.740734232009798
1.0,0.0,3.0,14.718820076538716
1.0,0.0,4.0,14.716732404486732
1.0,0.0,5.0,14.625048420789449
1.0,0.0,6.0,14.62508625306744
1.0,1.0,0.0,13.534369093510332
1.0,1.0,1.0,13.48722296505829
1.0,1.0,2.0,13.429902454796999
1.0,1.0,3.0,13.424417739080017
1.0,1.0,4.0,13.405038008910243
1.0,1.0,5.0,13.331315721028133
1.0,1.0,6.0,13.300168536681184
1.0,2.0,0.0,19.661110260742117
1.0,2.0,1.0,13.518687547088799
1.0,2.0,2.0,13.472736309290644
1.0,2.0,3.0,13.420033529361417
1.0,2.0,4.0,13.432762141545576
1.0,2.0,5.0,13.410324027604487
1.0,2.0,6.0,13.41013100073788
2.0,0.0,0.0,14.833494854060099
2.0,0.0,1.0,14.79210997823809
2.0,0.0,2.0,14.801279669995646
2.0,0.0,3.0,14.735874244868974
2.0,0.0,4.0,14.711829152037943
2.0,0.0,5.0,14.711253751358694
2.0,0.0,6.0,14.621003895196168
2.0,1.0,0.0,13.454227329466182
2.0,1.0,1.0,13.442205781841789
2.0,1.0,2.0,13.393135618826255
2.0,1.0,3.0,13.392541252458713
2.0,1.0,4.0,13.234882438569853
2.0,1.0,5.0,13.231361671123405
2.0,1.0,6.0,13.073290317607208
2.0,2.0,0.0,17.395668122284988
2.0,2.0,1.0,13.442586641916366
2.0,2.0,2.0,13.4318801575513
2.0,2.0,3.0,13.155444746194618
2.0,2.0,4.0,13.466197924742271
2.0,2.0,5.0,13.22483208923508
2.0,2.0,6.0,13.067399753354815
3.0,0.0,0.0,14.750702067935224
3.0,0.0,1.0,14.816485075670473
3.0,0.0,2.0,14.45998807653403
3.0,0.0,3.0,14.455960678441159
3.0,0.0,4.0,14.444887885181366
3.0,0.0,5.0,14.365052673397084
3.0,0.0,6.0,14.363992136109772
3.0,1.0,0.0,13.438504111044228
3.0,1.0,1.0,13.437688108746848
3.0,1.0,2.0,13.392392678008033
3.0,1.0,3.0,13.378004788441284
3.0,1.0,4.0,13.232559119984714
3.0,1.0,5.0,13.213391485589547
3.0,1.0,6.0,13.186416690996353
3.0,2.0,0.0,16.373969570861846
3.0,2.0,1.0,13.428333652292729
3.0,2.0,2.0,13.442403452160283
3.0,2.0,3.0,13.427806311980445
3.0,2.0,4.0,13.528205845846713
3.0,2.0,5.0,13.225182628517958
3.0,2.0,6.0,13.215596301835317
4.0,0.0,0.0,14.737786963654939
4.0,0.0,1.0,14.745815055139673
4.0,0.0,2.0,14.456440201431425
4.0,0.0,3.0,14.704809838675091
4.0,0.0,4.0,14.689178354916931
4.0,0.0,5.0,14.520514718665867
4.0,0.0,6.0,14.52029994518211
4.0,1.0,0.0,13.433629297512114
4.0,1.0,1.0,13.420232014920554
4.0,1.0,2.0,13.267868835189063
4.0,1.0,3.0,13.328168363861925
4.0,1.0,4.0,13.216965401616704
4.0,1.0,5.0,13.16937842779402
4.0,1.0,6.0,13.152505181268367
4.0,2.0,0.0,16.167476564439326
4.0,2.0,1.0,13.424198438592807
4.0,2.0,2.0,13.424864475065064
4.0,2.0,3.0,13.257392830566912
4.0,2.0,4.0,13.284775580549788
4.0,2.0,5.0,13.016034310531127
4.0,2.0,6.0,13.008998308441127
5.0,0.0,0.0,2.2927944395750129e+18
5.0,0.0,1.0,14.726633584868514
5.0,0.0,2.0,14.447274638815147
5.0,0.0,3.0,14.693464270364142
5.0,0.0,4.0,14.31684744929361
5.0,0.0,5.0,14.311333519091859
5.0,0.0,6.0,14.299177756627813
5.0,1.0,0.0,13.343277802357433
5.0,1.0,1.0,13.31223106506877
5.0,1.0,2.0,13.260096314795087
5.0,1.0,3.0,13.2611060662505
5.0,1.0,4.0,13.131315328224135
5.0,1.0,5.0,13.132840066767749
5.0,1.0,6.0,13.135670538330738
5.0,2.0,0.0,15.856230911911627
5.0,2.0,1.0,13.330092714842854
5.0,2.0,2.0,13.423047129984147
5.0,2.0,3.0,13.236979305181526
5.0,2.0,4.0,13.334365758072153
5.0,2.0,5.0,13.348665116329228
5.0,2.0,6.0,12.997841523608493
6.0,0.0,0.0,14.901244392992979
6.0,0.0,1.0,14.723487908449673
6.0,0.0,2.0,14.373059340578273
6.0,0.0,3.0,14.53093359780869
6.0,0.0,4.0,14.309809128391011
6.0,0.0,5.0,14.290402772062809
6.0,0.0,6.0,14.293613969709911
6.0,1.0,0.0,13.317392447329256
6.0,1.0,1.0,13.263178914204374
6.0,1.0,2.0,13.086578050211118
6.0,1.0,3.0,13.016888546652241
6.0,1.0,4.0,13.12969661401049
6.0,1.0,5.0,13.131252451025915
6.0,1.0,6.0,12.881910435373767
6.0,2.0,0.0,15.28102135762491
6.0,2.0,1.0,13.301827010235048
6.0,2.0,2.0,13.247973059782348
