method,alpha,beta,value
estimated,0.1,0.1,19174.999698825653
estimated,0.1,0.11,19173.053132220306
estimated,0.1,0.12,19166.266237813987
estimated,0.1,0.13,19155.685330399672
estimated,0.1,0.13999999999999999,19141.746405797603
estimated,0.1,0.14999999999999997,19124.64430605527
estimated,0.1,0.15999999999999998,19104.64058903813
estimated,0.1,0.16999999999999998,19082.22922974919
estimated,0.1,0.17999999999999997,19058.154151471124
estimated,0.1,0.18999999999999995,19033.32200405845
estimated,0.1,0.19999999999999996,19008.67150536489
estimated,0.1,0.20999999999999996,18985.052358988443
estimated,0.1,0.21999999999999995,18963.144676145857
estimated,0.1,0.22999999999999995,18943.426659281657
estimated,0.1,0.23999999999999994,18926.182071142728
estimated,0.1,0.24999999999999992,18911.531958091833
estimated,0.1,0.2599999999999999,18899.475407970047
estimated,0.1,0.2699999999999999,18889.928427794344
estimated,0.1,0.2799999999999999,18882.755253358857
estimated,0.1,0.2899999999999999,18877.790661867766
estimated,0.1,0.29999999999999993,18874.854472698396
estimated,0.1,0.30999999999999994,18873.760526768332
estimated,0.1,0.3199999999999999,18874.32250324822
estimated,0.1,0.32999999999999985,18876.358444219703
estimated,0.1,0.33999999999999986,18879.69516801603
estimated,0.1,0.34999999999999987,18884.17307538952
estimated,0.1,0.3599999999999999,18889.65129859826
estimated,0.1,0.3699999999999999,18896.012753840452
estimated,0.1,0.3799999999999999,18903.16843932649
estimated,0.1,0.3899999999999999,18911.060268481473
estimated,0.1,0.3999999999999998,18919.66182852704
estimated,0.1,0.4099999999999998,18928.976685012873
estimated,0.1,0.4199999999999998,18939.034175049677
estimated,0.1,0.4299999999999998,18949.882983587642
estimated,0.1,0.43999999999999984,18961.583111642383
estimated,0.1,0.44999999999999984,18974.19705894533
estimated,0.1,0.45999999999999985,18987.78111622434
estimated,0.1,0.46999999999999986,19002.37758869297
estimated,0.1,0.47999999999999976,19018.00857778473
estimated,0.1,0.48999999999999977,19034.67168374931
estimated,0.1,0.4999999999999998,19052.337715941023
estimated,0.1,0.5099999999999998,19070.95026415721
estimated,0.1,0.5199999999999998,19090.42682822126
estimated,0.1,0.5299999999999998,19110.661137811137
estimated,0.1,0.5399999999999998,19131.526311855647
estimated,0.1,0.5499999999999998,19152.878582132842
estimated,0.1,0.5599999999999997,19174.5614068999
estimated,0.1,0.5699999999999997,19196.40989489275
estimated,0.1,0.5799999999999997,19218.255523323
estimated,0.1,0.5899999999999997,19239.931151026816
estimated,0.1,0.5999999999999998,19261.276299851015
estimated,0.1,0.6099999999999998,19282.142612642827
estimated,0.1,0.6199999999999998,19302.399313975322
estimated,0.1,0.6299999999999997,19321.93842009455
estimated,0.1,0.6399999999999997,19340.67938815944
estimated,0.1,0.6499999999999997,19358.572874827394
estimated,0.1,0.6599999999999997,19375.603298519094
estimated,0.1,0.6699999999999997,19391.789965927626
estimated,0.1,0.6799999999999997,19407.18662358721
estimated,0.1,0.6899999999999997,19421.87941551658
estimated,0.1,0.6999999999999996,19435.983352364656
estimated,0.1,0.7099999999999996,19449.637510441717
estimated,0.1,0.7199999999999996,19462.999267792504
estimated,0.1,0.7299999999999996,19476.237940822833
estimated,0.1,0.7399999999999997,19489.528205326475
estimated,0.1,0.7499999999999997,19503.043671723543
estimated,0.1,0.7599999999999997,19516.95094127384
estimated,0.1,0.7699999999999997,19531.40440527989
estimated,0.1,0.7799999999999997,19546.541973083058
estimated,0.1,0.7899999999999996,19562.48183408923
estimated,0.1,0.7999999999999996,19579.32028337989
estimated,0.1,0.8099999999999996,19597.130574117575
estimated,0.1,0.8199999999999996,19615.962707356404
estimated,0.1,0.8299999999999996,19635.84403233076
estimated,0.1,0.8399999999999996,19656.780507780135
estimated,0.1,0.8499999999999996,19678.7584662527
estimated,0.1,0.8599999999999995,19701.74672616687
estimated,0.1,0.8699999999999996,19725.698908458675
estimated,0.1,0.8799999999999996,19750.55583298192
estimated,0.1,0.8899999999999996,19776.24789208876
estimated,0.1,0.8999999999999996,19802.697322826625
estimated,0.1,0.9099999999999996,19829.82032290571
estimated,0.1,0.9199999999999996,19857.52897769349
estimated,0.1,0.9299999999999996,19885.73298471327
estimated,0.1,0.9399999999999996,19914.341177774364
estimated,0.1,0.9499999999999995,19943.26286438817
estimated,0.1,0.9599999999999995,19972.408997192768
estimated,0.1,0.9699999999999995,20001.693203535964
estimated,0.1,0.9799999999999995,20031.0326959541
estimated,0.1,0.9899999999999995,20060.349083137964
estimated,0.11,0.1,18768.98363348723
estimated,0.11,0.11,18764.864619517204
estimated,0.11,0.12,18756.322100241905
estimated,0.11,0.13,18744.14522672075
